Age,Sex,Province,Vehicle
74.0,ชาย,นครสวรรค์,รถจักรยานยนต์
52.0,หญิง,สกลนคร,รถจักรยานยนต์
36.0,หญิง,สมุทรสาคร,รถจักรยานยนต์
50.0,ชาย,สมุทรปราการ,รถจักรยานยนต์
32.0,ชาย,ขอนแก่น,รถจักรยานยนต์
18.0,ชาย,นครศรีธรรมราช,รถจักรยานยนต์
16.0,ชาย,นครสวรรค์,รถจักรยานยนต์
36.0,ชาย,ศรีสะเกษ,รถจักรยานยนต์
76.0,ชาย,ลำพูน,รถจักรยานยนต์
53.0,ชาย,นครพนม,รถจักรยานยนต์
64.0,ชาย,นครสวรรค์,รถจักรยานยนต์
20.0,ชาย,นครพนม,รถจักรยานยนต์
49.0,ชาย,สมุทรสงคราม,รถจักรยานยนต์
63.0,หญิง,สกลนคร,รถยนต์
20.0,ชาย,อุดรธานี,รถจักรยานยนต์
31.0,หญิง,นนทบุรี,รถจักรยานยนต์
54.0,ชาย,แพร่,รถจักรยานยนต์
67.0,ชาย,เชียงราย,รถจักรยานยนต์
12.0,ชาย,น่าน,รถยนต์
8.0,ชาย,นครพนม,รถยนต์
22.0,ชาย,เลย,รถจักรยานยนต์
57.0,ชาย,ชุมพร,รถจักรยานยนต์
31.0,ชาย,ปทุมธานี,รถจักรยานยนต์
78.0,ชาย,นราธิวาส,รถจักรยานยนต์
67.0,ชาย,เลย,รถจักรยานยนต์
58.0,ชาย,อุดรธานี,รถจักรยานยนต์
